constructorId,name
1,McLaren
3,Williams
4,Renault
5,Toro Rosso
6,Ferrari
9,Red Bull
10,Force India
15,Sauber
51,Alfa Romeo
117,Aston Martin
131,Mercedes
206,Marussia
207,Caterham
208,Lotus F1
209,Manor Marussia
210,Haas F1 Team
211,Racing Point
213,AlphaTauri
214,Alpine F1 Team
215,RB F1 Team
