driverId,driver_name,avg_grid,avg_finish,avg_pit_stop,total_races,wins,podiums,dnfs,avg_quali,win_rate,podium_rate,dnf_rate
1,Lewis Hamilton,4.154185022026431,3.9911894273127753,87454.0248164464,227,83,148,14,4.048458149779735,36.56387665198238,65.19823788546255,6.167400881057269
3,Nico Rosberg,1.847457627118644,3.76271186440678,76933.39463276837,59,20,46,4,1.7796610169491525,33.89830508474576,77.96610169491525,6.779661016949152
4,Fernando Alonso,10.475935828877006,10.748663101604278,100079.7458110517,187,0,11,43,10.518716577540108,0.0,5.88235294117647,22.994652406417114
8,Kimi Räikkönen,8.563291139240507,9.417721518987342,63930.7917721519,158,1,26,23,9.094936708860759,0.6329113924050633,16.455696202531644,14.556962025316455
9,Robert Kubica,16.0,16.782608695652176,24803.453623188405,23,0,0,2,19.434782608695652,0.0,0.0,8.695652173913043
13,Felipe Massa,8.782051282051283,10.064102564102564,57086.107478632475,78,0,5,13,9.205128205128204,0.0,6.41025641025641,16.666666666666664
16,Adrian Sutil,14.68421052631579,16.42105263157895,40878.0,19,0,0,8,15.210526315789474,0.0,0.0,42.10526315789473
18,Jenson Button,12.616666666666667,12.133333333333333,46702.16166666667,60,0,1,15,12.5,0.0,1.6666666666666667,25.0
20,Sebastian Vettel,7.1722222222222225,7.555555555555555,71454.67601851853,180,14,60,25,7.316666666666666,7.777777777777778,33.33333333333333,13.88888888888889
154,Romain Grosjean,12.544117647058824,13.514705882352942,48407.78406862745,136,0,1,37,12.830882352941176,0.0,0.7352941176470588,27.205882352941174
155,Kamui Kobayashi,18.75,17.5,39147.291666666664,16,0,0,7,19.375,0.0,0.0,43.75
807,Nico Hülkenberg,10.395348837209303,11.86046511627907,59037.62974806201,172,0,0,37,10.69767441860465,0.0,0.0,21.511627906976745
813,Pastor Maldonado,14.763157894736842,14.736842105263158,33133.04824561403,38,0,0,15,15.052631578947368,0.0,0.0,39.473684210526315
814,Paul di Resta,19.0,18.0,22399.0,1,0,0,1,19.0,0.0,0.0,100.0
815,Sergio Pérez,8.765486725663717,8.561946902654867,78647.99019174042,226,6,36,28,9.371681415929203,2.6548672566371683,15.929203539823009,12.389380530973451
817,Daniel Ricciardo,8.768115942028986,9.231884057971014,86168.82375201288,207,8,32,33,8.579710144927537,3.864734299516908,15.458937198067632,15.942028985507244
